,channel_num,gain_position,est_meangain_dB
0,9,0,0.0
1,9,1,1.235775119602752
2,9,2,6.441169293847206
3,9,3,15.448127597558447
4,9,4,23.727640488916112
5,9,5,28.621027522900345
6,9,6,32.62901415426653
7,9,7,40.75165332938886
8,10,0,0.0
9,10,1,1.2871879708100464
10,10,2,6.563361166738151
11,10,3,15.648068371975018
12,10,4,23.270305037191527
13,10,5,28.278972215149306
14,10,6,32.04787477096001
15,10,7,40.31914233590214
16,11,0,0.0
17,11,1,0.6247711676410965
18,11,2,4.914909583999579
19,11,3,14.46242479512798
20,11,4,22.958737348961556
21,11,5,28.210303963631873
22,11,6,31.759413330425154
23,11,7,39.71386907359615
24,12,0,0.0
25,12,1,0.7331913944317824
26,12,2,4.606063425848312
27,12,3,14.858007426371351
28,12,4,23.2591899043828
29,12,5,28.74106441550267
30,12,6,32.54673903173479
31,12,7,40.106101084871575
